Data,Bloomberg Barclays Euro Government Inflation-Linked Bond
11/2005,10000
12/2005,10150.787031145617
01/2006,10048.359731404069
02/2006,10057.564230972856
03/2006,9832.425747809773
04/2006,9741.78123495853
05/2006,9790.527442721008
06/2006,9815.277440085718
07/2006,9930.063882309334
08/2006,10071.773164695942
09/2006,10067.015711854528
10/2006,10102.851613637094
11/2006,10168.910816263064
12/2006,9980.989255591705
01/2007,9899.625213761092
02/2007,9995.641668960217
03/2007,9911.604301398884
04/2007,9910.6476933778
05/2007,9808.049482567729
06/2007,9734.36320062214
07/2007,9901.639692141547
08/2007,9967.527786113946
09/2007,9991.505028346885
10/2007,10122.806221830733
11/2007,10227.450623421833
12/2007,10171.989586517026
01/2008,10456.396372919375
02/2008,10561.142135641287
03/2008,10480.76631543981
04/2008,10434.69333461553
05/2008,10445.11406896151
06/2008,10444.36660471618
07/2008,10516.538792421226
08/2008,10605.130890562354
09/2008,10512.775982723086
10/2008,9926.199612687858
11/2008,10070.72161705818
12/2008,10563.359237490838
01/2009,10511.71169084958
02/2009,10373.682923987659
03/2009,10636.196694060287
04/2009,10823.00970380687
05/2009,10909.897729681583
06/2009,10976.17230001239
07/2009,11133.756553266317
08/2009,11277.923694886282
09/2009,11406.418587900545
10/2009,11304.548873170977
11/2009,11436.850933727179
12/2009,11421.248333851714
01/2010,11314.728850133153
02/2010,11355.056156486886
03/2010,11612.356348629455
04/2010,11656.376815951096
05/2010,11732.330979104167
06/2010,11598.47046646363
07/2010,11718.75550305238
08/2010,11991.924343340657
09/2010,11853.977969444719
10/2010,11877.891786876504
11/2010,11454.132314982617
12/2010,11533.260188006325
01/2011,11573.688756698342
02/2011,11642.598617637688
03/2011,11669.717857340689
04/2011,11779.537801739665
05/2011,11914.658907001194
06/2011,11888.090830796036
07/2011,11742.530023023697
08/2011,11711.438829846798
09/2011,11668.894322850989
10/2011,11377.259578930649
11/2011,10820.583458181563
12/2011,11424.637510219716
01/2012,11691.427218366149
02/2012,12172.104818118367
03/2012,12133.912418233256
04/2012,12027.950321941624
05/2012,12054.588145669539
06/2012,11980.977835175796
07/2012,12395.862379364817
08/2012,12440.294515138785
09/2012,12476.49792511493
10/2012,12407.480380323164
11/2012,12562.505314420401
12/2012,12677.14603766941
01/2013,12491.745761032558
02/2013,12477.828166466157
03/2013,12552.825820390664
04/2013,12736.414340908681
05/2013,12569.099913059616
06/2013,12173.998967203186
07/2013,12331.165130490652
08/2013,12165.263238166264
09/2013,12235.71248423259
10/2013,12357.76491909638
11/2013,12293.770875416274
12/2013,12182.753664404934
01/2014,12314.453880897885
02/2014,12310.900116182975
03/2014,12362.129572857775
04/2014,12477.980208162371
05/2014,12621.095802144575
06/2014,12716.687844655631
07/2014,12811.62103981642
08/2014,12964.745600899754
09/2014,12883.98330433987
10/2014,12855.045985796422
11/2014,12897.571425834876
12/2014,12825.177448910854
01/2015,13134.644638791955
02/2015,13249.51347398155
03/2015,13406.616311260394
