Data,Bloomberg Euro Treasury Bond 0-1 Year
03/2009,10000
04/2009,10006.840436587063
05/2009,10018.79849171025
06/2009,10030.398400425864
07/2009,10047.04751432311
08/2009,10056.455399236867
09/2009,10060.865014459188
10/2009,10064.771466937125
11/2009,10070.648124150764
12/2009,10074.946879776764
01/2010,10081.0027100677
02/2010,10095.075986263399
03/2010,10099.442955496865
04/2010,10082.358792589186
05/2010,10111.48640247127
06/2010,10108.808194421767
07/2010,10117.397116551889
08/2010,10128.758227704615
09/2010,10126.310228096117
10/2010,10133.875746367225
11/2010,10123.043565324517
12/2010,10144.025591588255
01/2011,10157.655429398668
02/2011,10169.766990107031
03/2011,10174.142548462374
04/2011,10178.876353098802
05/2011,10198.246321034412
06/2011,10204.685965225042
07/2011,10213.078735781135
08/2011,10255.912586708933
09/2011,10268.795270789546
10/2011,10271.52840926966
11/2011,10267.737909937066
12/2011,10333.597698514832
01/2012,10355.999526599562
02/2012,10376.587651739073
03/2012,10377.74848154812
04/2012,10378.175740424753
05/2012,10368.377949327178
06/2012,10377.935245012191
07/2012,10400.238797562888
08/2012,10420.794164191053
09/2012,10428.576108358764
10/2012,10438.395671881563
11/2012,10447.400167687627
12/2012,10453.617493444553
01/2013,10461.848369040612
02/2013,10468.358623802955
03/2013,10474.59432628576
04/2013,10481.605346828243
05/2013,10481.677755123139
06/2013,10480.68651053441
07/2013,10487.78721748905
08/2013,10491.011733639347
09/2013,10496.568695746837
10/2013,10504.328368121774
11/2013,10507.8028676681
12/2013,10507.495856497748
01/2014,10515.270509899216
02/2014,10518.479445781919
03/2014,10521.083747433877
04/2014,10522.095466092196
05/2014,10530.509509705958
06/2014,10538.806801186298
07/2014,10005.168554026326
08/2014,10009.695820243662
09/2014,10011.20301138608
10/2014,10452.810115988103
11/2014,10456.247063094592
12/2014,10458.893211747323
01/2015,10462.210310641574
02/2015,10464.6683974746
03/2015,10466.816077437927
04/2015,10464.283185345761
05/2015,10465.747430878793
06/2015,10463.497879935063
07/2015,10463.749061813216
08/2015,10463.51695577551
09/2015,10462.992220352924
10/2015,10463.718500519091
11/2015,10466.108873112204
12/2015,10462.512627756947
01/2016,10463.352364230703
02/2016,10461.676386856048
03/2016,10457.70391798787
04/2016,10458.860553109487
05/2016,10458.24603140123
06/2016,10455.24942660121
07/2016,10454.014490647594
08/2016,10451.281751661521
09/2016,10448.431261806922
10/2016,10446.943645872503
11/2016,10444.509129187885
12/2016,10442.831054469516
01/2017,10432.814640258113
02/2017,10432.564956482616
03/2017,10424.022775155267
04/2017,10421.56868326265
05/2017,10418.69682047687
06/2017,10411.426428428398
07/2017,10409.846529370554
08/2017,10404.24831950335
09/2017,10400.959384938977
10/2017,10398.863739074463
11/2017,10393.15007542947
12/2017,10388.953490404403
01/2018,10382.349354542474
02/2018,10379.701008672517
03/2018,10373.46900150959
04/2018,10369.238359617546
05/2018,10350.481714908072
06/2018,10359.758266155915
07/2018,10357.01573956584
08/2018,10348.777073835987
09/2018,10348.488639138532
10/2018,10350.170209429756
11/2018,10346.901449314446
12/2018,10346.150400517745
01/2019,10341.421789303848
02/2019,10337.667344308435
03/2019,10338.253901433836
04/2019,10334.373915436101
05/2019,10331.133719144704
06/2019,10332.357069771137
07/2019,10331.97255675687
08/2019,10330.316853704784
09/2019,10323.591771022
10/2019,10317.627724486938
11/2019,10313.248171191188
12/2019,10311.088905900679
01/2020,10306.189311237318
02/2020,10303.262218400398
03/2020,10292.919117937132
04/2020,10287.963394361042
05/2020,10291.285786551334
06/2020,10293.632814041019
07/2020,10290.190274017958
08/2020,10287.584074769307
09/2020,10285.37736956145
10/2020,10285.134876678687
11/2020,10281.24320548026
12/2020,10276.482235249057
01/2021,10269.815878190273
02/2021,10264.208779580664
03/2021,10257.433160901719
04/2021,10255.527973821156
05/2021,10253.695195035489
06/2021,10249.30705261786
07/2021,10244.965151635455
08/2021,10240.444177449262
09/2021,10234.292268841511
10/2021,10229.534494562637
11/2021,10232.204712731327
12/2021,10223.039919941395
01/2022,10215.28643972409
02/2022,10212.142122002484
03/2022,10201.530361796786
04/2022,10192.249915482043
05/2022,10184.710763817624
06/2022,10173.6404843266
07/2022,10173.38920257494
08/2022,10160.664917881504
09/2022,10131.745644141696
10/2022,10135.501587239762
11/2022,10146.391495171369
12/2022,10146.17307180456
01/2023,10157.759397722784
02/2023,10162.985578764496
03/2023,10194.577567510749
04/2023,10213.11608847395
05/2023,10235.200618416777
06/2023,10245.827459522516
07/2023,10274.835620686401
08/2023,10304.18155406178
09/2023,10324.533777970202
10/2023,10357.139083350938
11/2023,10391.164190552667
12/2023,10430.515651926835
01/2024,10454.706614073277
02/2024,10475.19137012973
03/2024,10508.041565357476
04/2024,10536.142375681202
