Data,Euribor 3-month
1994-01,6.9100
1994-02,6.8600
1994-03,6.7500
1994-04,6.5700
1994-05,6.2400
1994-06,6.3000
1994-07,6.3400
1994-08,6.4300
1994-09,6.3800
1994-10,6.4300
1994-11,6.4000
1994-12,6.6900
1995-01,6.6600
1995-02,6.5900
1995-03,7.5800
1995-04,7.2900
1995-05,7.0400
1995-06,7.0800
1995-07,6.9200
1995-08,6.6600
1995-09,6.5000
1995-10,6.7500
1995-11,6.4500
1995-12,6.3200
1996-01,5.8100
1996-02,5.5800
1996-03,5.5000
1996-04,5.2700
1996-05,5.0600
1996-06,5.0800
1996-07,5.0600
1996-08,5.0800
1996-09,4.8600
1996-10,4.6900
1996-11,4.5700
1996-12,4.5000
1997-01,4.3900
1997-02,4.4300
1997-03,4.5000
1997-04,4.3900
1997-05,4.3000
1997-06,4.2900
1997-07,4.3000
1997-08,4.3600
1997-09,4.3100
1997-10,4.4400
1997-11,4.4900
1997-12,4.3700
1998-01,4.2600
1998-02,4.2400
1998-03,4.1100
1998-04,4.0900
1998-05,4.0600
1998-06,4.0200
1998-07,3.9500
1998-08,3.9300
1998-09,3.9300
1998-10,3.8100
1998-11,3.6900
1998-12,3.3700
1999-01,3.1321
1999-02,3.0934
1999-03,3.0467
1999-04,2.6965
1999-05,2.5790
1999-06,2.6267
1999-07,2.6765
1999-08,2.6950
1999-09,2.7267
1999-10,3.3757
1999-11,3.4677
1999-12,3.4460
2000-01,3.3431
2000-02,3.5368
2000-03,3.7470
2000-04,3.9253
2000-05,4.3620
2000-06,4.5017
2000-07,4.5829
2000-08,4.7771
2000-09,4.8528
2000-10,5.0413
2000-11,5.0920
2000-12,4.9392
2001-01,4.7707
2001-02,4.7558
2001-03,4.7086
2001-04,4.6820
2001-05,4.6367
2001-06,4.4536
2001-07,4.4671
2001-08,4.3535
2001-09,3.9829
2001-10,3.5999
2001-11,3.3857
2001-12,3.3449
2002-01,3.3388
2002-02,3.3571
2002-03,3.3908
2002-04,3.4069
2002-05,3.4671
2002-06,3.4640
2002-07,3.4100
2002-08,3.3519
2002-09,3.3101
2002-10,3.2613
2002-11,3.1241
