Data,Xtrackers Global Government Bond UCITS ETF 1D EUR hedged
1985-01,10000
1985-02,9861.498419961714
1985-03,10045.221536352889
1985-04,10219.72832028246
1985-05,10571.741330461306
1985-06,10701.47892487787
1985-07,10752.597952115426
1985-08,10906.518116975541
1985-09,11012.642309554827
1985-10,11075.076991945545
1985-11,11277.41189583846
1985-12,11525.189686710586
1986-01,11598.19531155241
1986-02,12045.193407305349
1986-03,12566.16435387911
1986-04,12676.20420453241
1986-05,12428.302454251187
1986-06,12703.385783764732
1986-07,12795.073434470985
1986-08,13063.460542478651
1986-09,12854.37375665458
1986-10,12998.4774876393
1986-11,13127.621885481823
1986-12,13218.38713187633
1987-01,13419.961849345327
1987-02,13600.006138328516
1987-03,13661.09677359603
1987-04,13647.085468704596
1987-05,13671.884764091385
1987-06,13637.310161166924
1987-07,13495.481017131428
1987-08,13440.624860138976
1987-09,13197.581672169355
1987-10,13680.870368135369
1987-11,13804.58750839444
1987-12,13926.616988062728
1988-01,14289.06104413125
1988-02,14425.1940863685
1988-03,14419.046588569394
1988-04,14392.211523936023
1988-05,14338.018781655443
1988-06,14444.45242296279
1988-07,14411.054256103544
1988-08,14370.452677552732
1988-09,14647.727569741068
1988-10,14922.502396010832
1988-11,14848.28732981882
1988-12,14894.359900958181
1989-01,15013.726246215756
1989-02,14878.4072759989
1989-03,14958.384488403779
1989-04,15141.361648034237
1989-05,15300.583351896408
1989-06,15609.170582228942
1989-07,15930.332862237517
1989-08,15797.52261589579
1989-09,15797.26448795515
1989-10,16003.159607290938
1989-11,16094.561034184431
1989-12,16169.920162120161
1990-01,15940.354474589785
1990-02,15858.26667090212
1990-03,15899.943616295237
1990-04,15848.105247051471
1990-05,16295.416743498736
1990-06,16497.02578169156
1990-07,16663.057027936276
1990-08,16462.421110393418
1990-09,16526.767933522882
1990-10,16915.524125909673
1990-11,17257.23904778697
1990-12,17497.866328609372
1991-01,17808.92335328972
1991-02,18019.646310935223
1991-03,18104.931912890723
1991-04,18302.419542668584
1991-05,18440.55080922598
1991-06,18433.83480144822
