Data,Bloomberg Barclays Euro Government Bond 10 Year Term
12/2006,10000
01/2007,9930.148065108953
02/2007,10052.757215501175
03/2007,10009.453342132434
04/2007,9983.942570723644
05/2007,9842.21933883444
06/2007,9765.804654401185
07/2007,9943.31490179508
08/2007,10068.275229602259
09/2007,10050.336838130412
10/2007,10141.854640882877
11/2007,10261.815246553717
12/2007,10160.940961343416
01/2008,10510.21471895218
02/2008,10589.312497425897
03/2008,10543.788754318222
04/2008,10432.257878549211
05/2008,10266.05437708211
06/2008,10124.752930575069
07/2008,10345.325003468864
08/2008,10519.70250908604
09/2008,10625.701035826074
10/2008,10697.90424944973
11/2008,11251.754758396153
12/2008,11491.496232224514
01/2009,11298.820657473541
02/2009,11480.811981947018
03/2009,11620.280794778211
04/2009,11576.568813910224
05/2009,11344.904585874992
06/2009,11550.172931500098
07/2009,11718.672392262228
08/2009,11784.900802673894
09/2009,11850.631135512003
10/2009,11887.8426771933
11/2009,12023.003260857946
12/2009,11883.126441845163
01/2010,12045.000944027215
02/2010,12174.580850143242
03/2010,12221.487680508162
04/2010,12347.326331034046
05/2010,12670.397722946578
06/2010,12707.526285471498
07/2010,12720.361205532126
08/2010,13206.814706277342
09/2010,13069.544891748928
10/2010,12899.600134691684
11/2010,12750.332283901987
12/2010,12568.285639990929
01/2011,12429.805687435955
02/2011,12460.86258707429
03/2011,12345.908694457727
04/2011,12499.021448794794
05/2011,12709.268949073037
06/2011,12748.396002268908
07/2011,13075.111790096978
08/2011,13448.326402108378
09/2011,13770.754730888413
10/2011,13549.166137999604
11/2011,13368.509470946072
12/2011,13794.702576208983
01/2012,13922.532827805535
02/2012,13989.335202711543
03/2012,14028.49680522649
04/2012,14169.846580253183
05/2012,14654.543638196288
06/2012,14317.980382572414
07/2012,14747.728014994202
08/2012,14698.82259264068
09/2012,14719.886734971311
10/2012,14760.099508118
11/2012,14949.123797353146
12/2012,15057.95759724582
01/2013,14799.240441832091
02/2013,14994.723630016913
03/2013,15185.331412823478
04/2013,15530.960774516705
05/2013,15262.977005401804
06/2013,14984.004830420341
07/2013,15110.493534996662
08/2013,14991.895246464557
09/2013,15170.622521485293
10/2013,15417.189360207907
11/2013,15434.221870559908
12/2013,15247.272262869456
01/2014,15705.52500856514
02/2014,15821.958746795892
03/2014,15977.692487453201
04/2014,16157.450162987172
05/2014,16381.597431840702
06/2014,16582.128771999163
07/2014,16726.8325665529
08/2014,17087.184598784883
09/2014,17126.277102661676
10/2014,17200.935242975178
11/2014,17483.06082853421
12/2014,17710.624325952667
01/2015,18000.66808859236
02/2015,18143.76052722058
03/2015,18269.77891525979
04/2015,18040.64570347049
05/2015,17766.500402712332
06/2015,17335.051545608367
07/2015,17772.309247611574
08/2015,17576.819169826467
09/2015,17876.26774344364
10/2015,18098.070724482503
11/2015,18267.00595246267
12/2015,18038.79929059407
01/2016,18449.84084770047
02/2016,18622.538000071632
03/2016,18719.076295078947
04/2016,18510.14278341979
05/2016,18716.379320520264
06/2016,19067.845186831517
07/2016,19236.386086513015
08/2016,19218.648202672994
09/2016,19300.78186324883
10/2016,18886.531576127272
11/2016,18557.0080735477
12/2016,18740.83892129731
01/2017,18339.969757694278
02/2017,18573.06550282405
03/2017,18483.165945597386
04/2017,18606.805597820494
05/2017,18764.45484999238
06/2017,18654.98477524984
07/2017,18709.339466158304
08/2017,18894.22138322201
09/2017,18804.93033980876
10/2017,19066.19928158693
11/2017,19122.94669014737
12/2017,18961.46631362869
01/2018,18798.900217159186
02/2018,18841.782305145767
03/2018,19221.35216814961
04/2018,19139.239277692275
05/2018,18909.94689587286
06/2018,19083.148812782558
07/2018,19008.7811501752
08/2018,18932.91976143543
09/2018,18868.40635490651
10/2018,18879.09749478429
11/2018,19041.85031968505
12/2018,19213.30957299321
01/2019,19476.203649897463
02/2019,19429.324479251336
03/2019,19818.312932433237
04/2019,19818.119314401687
05/2019,20058.68369019352
06/2019,20459.421444802876
07/2019,20799.95412336751
08/2019,21220.241524056582
09/2019,21135.08586189685
10/2019,20910.177900117716
11/2019,20698.886220125667
12/2019,20512.828714354488
01/2020,21014.931638194463
02/2020,21072.52271883688
03/2020,20594.983043731176
04/2020,20614.684868923076
05/2020,20688.09832189094
06/2020,20901.94168692977
07/2020,21089.29930080182
08/2020,20926.297538431936
09/2020,21186.24570330838
10/2020,21381.618151300383
11/2020,21396.852678613268
12/2020,21436.367069189873
01/2021,21334.607571660585
02/2021,20961.918595623876
03/2021,21074.44511995174
04/2021,20860.463456318943
05/2021,20856.556242416056
06/2021,20959.871573797976
07/2021,21341.605987103176
08/2021,21215.36621999598
09/2021,20941.165599800242
10/2021,20631.184955017747
11/2021,21072.854635462383
12/2021,20764.727293156593
01/2022,20498.126611298932
02/2022,20074.443752163446
03/2022,19513.60870829265
04/2022,18761.743994915476
05/2022,18455.774313310754
06/2022,18116.935868510354
07/2022,18960.35293395908
08/2022,17848.7377112454
09/2022,17035.782810822166
10/2022,17145.0868259343
11/2022,17513.841130984623
12/2022,16624.139528184973
01/2023,17145.978927853575
02/2023,16728.817278023285
03/2023,17220.526429291906
04/2023,17212.151917510004
05/2023,17331.185871942493
06/2023,17232.81504457698
07/2023,17225.85127977112
08/2023,17298.109812832357
09/2023,16769.147579645425
10/2023,16878.06435869447
11/2023,17433.581543004002
12/2023,18127.7168771448
01/2024,18049.52497979093
02/2024,17777.42659954102
03/2024,17990.64078196558
04/2024,17684.560360168038
05/2024,17671.372854681056
06/2024,17714.738937087666
07/2024,18162.604799812274
08/2024,18240.90044644103
09/2024,18519.727433228247
10/2024,18248.48660557854
11/2024,18687.321012870532
