Data,ICE US Treasury 7-10 Year Bond
12/2004,10000
01/2005,10078.47792280069
02/2005,9950.916074765368
03/2005,9895.069240564071
04/2005,10138.622022074558
05/2005,10301.301683858663
06/2005,10363.013228179492
07/2005,10163.542637147038
08/2005,10367.116764088954
09/2005,10187.794006019694
10/2005,10067.04790217734
11/2005,10126.364249572476
12/2005,10247.268859093736
01/2006,10191.633365797645
02/2006,10182.792271263097
03/2006,10033.726486122829
04/2006,9963.332352946354
05/2006,9956.904067079604
06/2006,9986.210005935158
07/2006,10143.923156446866
08/2006,10341.61496152715
09/2006,10460.582279417335
10/2006,10519.845791586167
11/2006,10659.700635607773
12/2006,10517.64432382358
01/2007,10478.493421133739
02/2007,10708.37949077409
03/2007,10688.407775231903
04/2007,10751.422588468182
05/2007,10592.934521304045
06/2007,10543.568808195801
07/2007,10770.707446068443
08/2007,11005.225403881273
09/2007,11043.14348462407
10/2007,11164.82301079776
11/2007,11583.45412053124
12/2007,11595.747116517523
01/2008,11981.47949200691
02/2008,12142.644543970355
03/2008,12314.99305216774
04/2008,12020.401442049444
05/2008,11797.366340086262
06/2008,11919.767947686081
07/2008,11988.154342263077
08/2008,12188.646414337367
09/2008,12194.528736199
10/2008,12040.566886754737
11/2008,13004.05246185737
12/2008,13672.347627610281
01/2009,13137.531855238525
02/2009,13030.94559204513
03/2009,13497.181240676784
04/2009,13122.667544905542
05/2009,12860.622434189323
06/2009,12814.004152848787
07/2009,12891.125971507725
08/2009,13018.335584701033
09/2009,13158.190428722639
10/2009,13151.88542505059
11/2009,13413.384571761688
12/2009,12849.280472276478
01/2010,13136.844997296595
02/2010,13213.209511045205
03/2010,13048.363604982715
04/2010,13261.712248790514
05/2010,13635.028346098912
06/2010,14057.762991741856
07/2010,14209.488149939329
08/2010,14686.2380086051
09/2010,14687.646947973153
10/2010,14677.414525812652
11/2010,14560.014652969428
12/2010,14055.209289137252
01/2011,14060.140576925449
02/2011,14028.93256992302
03/2011,14023.86038819802
04/2011,14245.979679571965
05/2011,14615.843875428627
06/2011,14557.460950364828
07/2011,14995.412141182771
08/2011,15728.360012187326
09/2011,16032.321069103193
10/2011,15805.340936909457
