Data,MSCI USA Small Cap
2000-12,10000
2001-01,10524.97331324653
2001-02,10142.128027681663
2001-03,10330.952105978262
2001-04,10950.567654348806
2001-05,11780.371403301888
2001-06,12312.775412735848
2001-07,11671.47778412336
2001-08,10923.5701026425
2001-09,9482.010020808235
2001-10,10388.73097765981
2001-11,11467.591593616542
2001-12,12349.159310110066
2002-01,12324.250028945235
2002-02,11939.892902554619
2002-03,12890.26215038973
2002-04,12495.846469804617
2002-05,11429.378981570257
2002-06,10076.172280701752
2002-07,8863.195594398447
2002-08,8845.00198311807
2002-09,8166.505882352941
2002-10,8439.40105433901
2002-11,9103.940012088246
2002-12,7986.399780680844
2003-01,7552.139654215976
2003-02,7365.206965312557
2003-03,7389.767094997707
2003-04,8061.518956068637
2003-05,8500.749534765691
2003-06,8912.914807035968
2003-07,9449.614728750663
2003-08,10371.66450077789
2003-09,9542.256737040852
2003-10,10495.94712614008
2003-11,10532.788310822076
2003-12,10219.144418052258
2004-01,10870.560239018088
2004-02,10951.470969560316
2004-03,11305.986052028795
2004-04,10914.03988448983
2004-05,10924.106615838664
2004-06,11376.367256273137
2004-07,10801.652712019271
2004-08,10646.622574519031
2004-09,10880.978604238859
2004-10,10819.646816361781
2004-11,11191.195938322679
2004-12,11306.247889288597
2005-01,11298.418680475641
2005-02,11338.034057479066
2005-03,11231.818304535638
2005-04,10640.533572586248
2005-05,11923.545170707972
2005-06,12563.36598577572
2005-07,13342.014223104274
2005-08,13036.535374651583
2005-09,13292.040275701711
2005-10,12921.280711968728
2005-11,13861.674866173847
2005-12,13802.824192591335
2006-01,14530.328024426472
2006-02,14795.6944
2006-03,15184.969720753472
2006-04,14668.901651112705
2006-05,13478.366257382657
2006-06,13598.56253441359
2006-07,13100.101864181095
2006-08,13358.04396545016
2006-09,13719.877053712482
2006-10,14361.552181789539
2006-11,14143.88196969697
2006-12,14177.725398633258
2007-01,14631.491161031343
2007-02,14258.18159109833
2007-03,14323.048580867999
2007-04,14351.928041161338
2007-05,15128.423548650859
2007-06,14834.050981118104
2007-07,13537.563252352815
2007-08,13683.204487413352
2007-09,13466.49210099443
2007-10,13498.336540458225
2007-11,12346.06639116591
2007-12,12304.141634399835
2008-01,11437.891223940818
2008-02,10869.06454803191
2008-03,10336.718062231215
2008-04,11123.247297297297
2008-05,11732.172169202993
2008-06,10578.151135498605
2008-07,10801.512939593877
2008-08,11786.691177468612
2008-09,10936.22121233308
2008-10,9665.83589401897
2008-11,8639.532018543256
