Data,MSCI World Small Cap
2000-12,10000
2001-01,10385.49343591951
2001-02,10134.078719723182
2001-03,10031.320991847826
2001-04,10772.875281658406
2001-05,11404.550353773586
2001-06,11379.751650943395
2001-07,10657.865162764136
2001-08,10168.643808691855
2001-09,8864.360201511336
2001-10,9551.569121875693
2001-11,10319.054675207914
2001-12,10688.238454555769
2002-01,10682.919995368762
2002-02,10575.389030169923
2002-03,11308.177498853738
2002-04,11128.606460923622
2002-05,10652.524981357195
2002-06,9505.838746867168
2002-07,8639.867985280589
2002-08,8556.474117766704
2002-09,7889.903904665314
2002-10,7982.6410178426595
2002-11,8380.498992646317
2002-12,7572.656908553449
2003-01,7212.579419378699
2003-02,7110.100491560006
2003-03,7054.206333180358
2003-04,7619.3830742970085
2003-05,7924.440872948741
2003-06,8466.515839677955
2003-07,8891.791570948932
2003-08,9787.834721332478
2003-09,9351.71665808445
2003-10,10203.634658406472
2003-11,10065.13331665833
2003-12,9960.844101346001
2004-01,10595.858365633077
2004-02,10785.647447253987
2004-03,11268.458524214659
2004-04,11007.892106805055
2004-05,10831.956755205772
2004-06,11355.085561497328
2004-07,10875.38782290888
2004-08,10798.13326727768
2004-09,10926.8699734064
2004-10,10957.428319070423
2004-11,11336.14257239564
2004-12,11521.162579839953
2005-01,11887.057192174912
2005-02,12067.511805084107
2005-03,12060.75570811478
2005-04,11594.875974376784
2005-05,12565.183440110291
2005-06,13194.44690704598
2005-07,13878.015463491276
2005-08,13899.677488112802
2005-09,14440.058752698887
2005-10,13981.182358812279
2005-11,14865.94124394596
2005-12,15441.551665677714
2006-01,16170.873700280576
2006-02,16371.471663157894
2006-03,16815.958484798415
2006-04,16663.275544388613
2006-05,15330.038117811626
2006-06,15278.995909698733
2006-07,14790.846675021538
2006-08,15107.320247451564
2006-09,15390.661097946286
2006-10,16021.955261499685
2006-11,15948.48803030303
2006-12,16260.151898253607
2007-01,16832.826887447893
2007-02,16635.742563015672
2007-03,16919.617284877608
2007-04,17107.863175303195
2007-05,17750.257563368767
2007-06,17550.587338022953
2007-07,16718.723280075872
2007-08,16248.34279460051
2007-09,16035.785104732351
2007-10,16509.660483145286
2007-11,14938.114998983809
2007-12,14710.635486719653
2008-01,13410.150739744451
2008-02,13256.695523175315
2008-03,12594.175088540347
2008-04,13338.424099099098
2008-05,13855.197801134898
2008-06,12535.483030956611
2008-07,12433.866600474026
2008-08,13167.759043094671
2008-09,11767.445326155354
2008-10,10209.606177000862
2008-11,9366.9261019879
2008-12,9087.234784795573
2009-01,9115.356897627964
2009-02,8278.609340398607
2009-03,8518.535918244665
2009-04,9956.244858757063
2009-05,10196.954674421904
2009-06,10290.14235177586
2009-07,11193.445077097185
2009-08,11767.578160033632
2009-09,12148.671037355734
2009-10,11547.945101351354
2009-11,11648.31401850496
2009-12,12707.33843537415
2010-01,12793.808678218531
2010-02,13475.450257921888
2010-03,14619.73655315676
2010-04,15374.948854675178
2010-05,15042.617087836192
2010-06,14389.498899845163
2010-07,14608.30718452564
2010-08,14322.214905362775
2010-09,14843.206733587338
2010-10,15199.643970556399
2010-11,16290.336090167717
2010-12,17340.22474180512
2011-01,17076.8361086766
2011-02,17588.898330200955
2011-03,17337.022031392975
2011-04,17207.92560565276
2011-05,17420.499513381994
2011-06,16968.603923060957
2011-07,16800.745196353437
2011-08,15215.767820069203
2011-09,14461.718951344143
2011-10,15598.984143989715
2011-11,15890.343642867789
2011-12,16348.293144756166
2012-01,17268.981139951426
2012-02,17699.504054154575
2012-03,17995.170522611566
2012-04,18064.896284243983
2012-05,17539.28356042893
2012-06,17911.86632247816
2012-07,18335.258588407683
2012-08,18452.17433193244
2012-09,18635.259512761026
2012-10,18440.844223812823
2012-11,18640.52464192207
2012-12,18940.900864029103
2013-01,19520.997269372696
2013-02,20316.495468047833
2013-03,21558.605896134322
2013-04,21385.412714198286
2013-05,21725.379248039364
2013-06,21147.53325688073
2013-07,22181.788210922787
2013-08,21826.781035134118
2013-09,22877.484524250278
2013-10,23349.94967377758
2013-11,23832.791014620532
2013-12,24087.002211587267
2014-01,24124.775266350996
2014-02,24854.24578295808
2014-03,24800.578437771976
2014-04,24284.168844765343
2014-05,25007.794407290367
2014-06,25901.528261824573
2014-07,25379.6500485836
2014-08,26546.978730664236
2014-09,26274.294007788285
2014-10,26850.39328489301
2014-11,27065.601017383644
2014-12,27996.009677950748
2015-01,29527.2630694383
2015-02,31537.327224199285
2015-03,33030.804071010316
2015-04,31993.35287561302
2015-05,33196.62657247038
2015-06,32265.20600589865
2015-07,32780.20753168596
2015-08,30364.83267944717
2015-09,29115.355797554224
2015-10,31311.236316601622
2015-11,32983.62586255789
2015-12,31257.945393588685
2016-01,28749.97889194139
2016-02,29041.974972446733
2016-03,30130.873166447076
2016-04,30801.402350258704
2016-05,31884.76627218935
2016-06,31442.971221401553
2016-07,33149.26136056871
2016-08,33151.528341717574
2016-09,33576.451796434005
2016-10,32981.15000913576
2016-11,35378.6861777151
2016-12,36562.091215254724
2017-01,36665.939377033945
2017-02,38013.25629895253
2017-03,37981.65050042092
2017-04,37910.59615736506
2017-05,37183.595980750375
2017-06,37148.89975464423
2017-07,36977.674852903554
2017-08,36659.02456659619
2017-09,38183.83910723361
2017-10,39302.63137996219
2017-11,39458.17879145919
2017-12,39586.78916868173
2018-01,39466.585694790076
2018-02,38650.489479286065
2018-03,38358.63716419122
2018-04,39502.147735739716
2018-05,41895.88379348663
2018-06,41924.38068279294
2018-07,42159.27730913429
2018-08,43411.96596858639
2018-09,43087.7928040774
2018-10,39710.10284502562
2018-11,39831.69125803328
2018-12,35874.87895196507
