Data,US2Y
12-01-24,4.330
11-01-24,4.160
10-01-24,4.166
09-01-24,3.645
08-01-24,3.919
07-01-24,4.260
06-01-24,4.749
05-01-24,4.877
04-01-24,5.037
03-01-24,4.628
02-01-24,4.623
01-01-24,4.209
12-01-23,4.250
11-01-23,4.695
10-01-23,5.083
09-01-23,5.052
08-01-23,4.863
07-01-23,4.885
06-01-23,4.904
05-01-23,4.409
04-01-23,4.021
03-01-23,4.038
02-01-23,4.818
01-01-23,4.205
12-01-22,4.428
11-01-22,4.329
10-01-22,4.486
09-01-22,4.273
08-01-22,3.495
07-01-22,2.891
06-01-22,2.955
05-01-22,2.563
04-01-22,2.731
03-01-22,2.335
02-01-22,1.436
01-01-22,1.185
12-01-21,0.734
11-01-21,0.567
10-01-21,0.501
09-01-21,0.281
08-01-21,0.211
07-01-21,0.188
06-01-21,0.252
05-01-21,0.141
04-01-21,0.162
03-01-21,0.162
02-01-21,0.129
01-01-21,0.111
12-01-20,0.123
11-01-20,0.150
10-01-20,0.156
09-01-20,0.131
08-01-20,0.133
07-01-20,0.109
06-01-20,0.154
05-01-20,0.164
04-01-20,0.201
03-01-20,0.253
02-01-20,0.931
01-01-20,1.319
12-01-19,1.571
11-01-19,1.612
10-01-19,1.526
09-01-19,1.626
08-01-19,1.510
07-01-19,1.868
06-01-19,1.757
05-01-19,1.924
04-01-19,2.266
03-01-19,2.266
02-01-19,2.518
01-01-19,2.464
12-01-18,2.496
11-01-18,2.797
10-01-18,2.871
09-01-18,2.823
08-01-18,2.629
07-01-18,2.674
06-01-18,2.532
05-01-18,2.435
04-01-18,2.492
03-01-18,2.270
02-01-18,2.258
01-01-18,2.149
12-01-17,1.887
11-01-17,1.790
10-01-17,1.600
09-01-17,1.491
08-01-17,1.329
07-01-17,1.355
06-01-17,1.386
05-01-17,1.286
04-01-17,1.270
03-01-17,1.262
02-01-17,1.264
01-01-17,1.212
12-01-16,1.198
11-01-16,1.119
10-01-16,0.845
09-01-16,0.766
08-01-16,0.809
07-01-16,0.659
06-01-16,0.586
05-01-16,0.883
04-01-16,0.782
03-01-16,0.725
02-01-16,0.785
01-01-16,0.778
12-01-15,1.052
11-01-15,0.934
10-01-15,0.728
09-01-15,0.629
08-01-15,0.739
07-01-15,0.669
06-01-15,0.645
05-01-15,0.609
04-01-15,0.575
03-01-15,0.559
02-01-15,0.622
01-01-15,0.453
12-01-14,0.672
11-01-14,0.476
10-01-14,0.497
09-01-14,0.575
08-01-14,0.492
07-01-14,0.531
06-01-14,0.457
05-01-14,0.375
04-01-14,0.414
03-01-14,0.422
02-01-14,0.325
01-01-14,0.332
12-01-13,0.384
11-01-13,0.285
10-01-13,0.309
09-01-13,0.321
08-01-13,0.403
07-01-13,0.313
06-01-13,0.359
05-01-13,0.297
04-01-13,0.211
03-01-13,0.250
02-01-13,0.238
01-01-13,0.266
12-01-12,0.251
11-01-12,0.250
10-01-12,0.285
09-01-12,0.234
08-01-12,0.226
07-01-12,0.215
06-01-12,0.305
05-01-12,0.266
04-01-12,0.262
03-01-12,0.336
02-01-12,0.297
01-01-12,0.219
12-01-11,0.247
11-01-11,0.258
10-01-11,0.250
09-01-11,0.247
08-01-11,0.203
07-01-11,0.359
06-01-11,0.458
05-01-11,0.468
04-01-11,0.609
03-01-11,0.833
02-01-11,0.688
01-01-11,0.570
12-01-10,0.605
11-01-10,0.461
10-01-10,0.340
09-01-10,0.422
08-01-10,0.477
07-01-10,0.554
06-01-10,0.605
05-01-10,0.774
04-01-10,0.964
03-01-10,1.020
02-01-10,0.816
01-01-10,0.816
12-01-09,1.143
11-01-09,0.667
10-01-09,0.901
09-01-09,0.949
08-01-09,0.972
07-01-09,1.115
06-01-09,1.117
05-01-09,0.922
04-01-09,0.907
03-01-09,0.805
02-01-09,0.978
01-01-09,0.950
12-01-08,0.768
11-01-08,1.000
10-01-08,1.568
09-01-08,1.980
08-01-08,2.379
07-01-08,2.524
06-01-08,2.632
05-01-08,2.657
04-01-08,2.270
03-01-08,1.602
02-01-08,1.628
01-01-08,2.109
12-01-07,3.059
11-01-07,3.015
10-01-07,3.954
09-01-07,3.988
08-01-07,4.157
07-01-07,4.513
06-01-07,4.871
05-01-07,4.921
04-01-07,4.595
03-01-07,4.583
02-01-07,4.659
01-01-07,4.925
12-01-06,4.825
11-01-06,4.621
10-01-06,4.701
09-01-06,4.691
08-01-06,4.788
07-01-06,4.967
06-01-06,5.162
05-01-06,5.041
04-01-06,4.871
03-01-06,4.824
02-01-06,4.691
01-01-06,4.528
12-01-05,4.404
11-01-05,4.415
10-01-05,4.386
09-01-05,4.173
08-01-05,3.820
07-01-05,4.023
06-01-05,3.645
05-01-05,3.582
04-01-05,3.658
03-01-05,3.783
02-01-05,3.604
01-01-05,3.280
12-01-04,3.065
11-01-04,3.001
10-01-04,2.552
09-01-04,2.593
08-01-04,2.515
07-01-04,2.628
06-01-04,2.679
05-01-04,2.455
04-01-04,2.294
03-01-04,1.572
02-01-04,1.647
01-01-04,1.609
12-01-03,1.837
11-01-03,2.070
10-01-03,1.830
09-01-03,1.464
08-01-03,1.978
07-01-03,1.756
06-01-03,1.344
05-01-03,1.349
04-01-03,1.486
03-01-03,1.501
02-01-03,1.516
01-01-03,1.697
12-01-02,1.590
11-01-02,2.060
10-01-02,1.756
09-01-02,1.691
08-01-02,2.138
07-01-02,2.242
06-01-02,2.821
05-01-02,3.203
04-01-02,3.261
03-01-02,3.722
02-01-02,3.049
01-01-02,3.195
12-01-01,3.120
11-01-01,2.846
10-01-01,2.375
09-01-01,2.851
08-01-01,3.559
07-01-01,3.801
06-01-01,4.253
05-01-01,4.217
04-01-01,4.301
03-01-01,4.209
02-01-01,4.398
01-01-01,4.580
12-01-00,5.129
11-01-00,5.658
10-01-00,5.948
09-01-00,6.004
08-01-00,6.192
07-01-00,6.317
06-01-00,6.366
05-01-00,6.684
04-01-00,6.698
03-01-00,6.483
02-01-00,6.534
01-01-00,6.612
12-01-99,6.243
11-01-99,6.026
10-01-99,5.765
